Subject,Start date,All Day Event,Description
Maria Sibylla Merian was born.,04/02/1647,true,https://en.wikipedia.org/wiki/Maria_Sibylla_Merian
Maria Sibylla Merian died.,01/13/1717,true,https://en.wikipedia.org/wiki/Maria_Sibylla_Merian
Jacoba van den Brande died.,08/14/1794,true,https://en.wikipedia.org/wiki/Jacoba_van_den_Brande
Jane Colden was born.,03/27/1724,true,https://en.wikipedia.org/wiki/Jane_Colden
Jane Colden died.,03/10/1766,true,https://en.wikipedia.org/wiki/Jane_Colden
Charlotta Frölich was born.,11/28/1698,true,https://en.wikipedia.org/wiki/Charlotta_Fr%C3%B6lich
Charlotta Frölich died.,07/21/1770,true,https://en.wikipedia.org/wiki/Charlotta_Fr%C3%B6lich
Catherine Littlefield Greene was born.,02/17/1755,true,https://en.wikipedia.org/wiki/Catherine_Littlefield_Greene
Catherine Littlefield Greene died.,09/02/1814,true,https://en.wikipedia.org/wiki/Catherine_Littlefield_Greene
Cristina Roccati was born.,10/24/1732,true,https://en.wikipedia.org/wiki/Cristina_Roccati
Cristina Roccati died.,03/16/1797,true,https://en.wikipedia.org/wiki/Cristina_Roccati
Maria Czaplicka was born.,10/25/1884,true,https://en.wikipedia.org/wiki/Maria_Czaplicka
Maria Czaplicka died.,05/27/1921,true,https://en.wikipedia.org/wiki/Maria_Czaplicka
Margaret Murray died.,11/13/1963,true,https://en.wikipedia.org/wiki/Margaret_Murray
Clémence Royer was born.,04/21/1830,true,https://en.wikipedia.org/wiki/Cl%C3%A9mence_Royer
Clémence Royer died.,02/06/1902,true,https://en.wikipedia.org/wiki/Cl%C3%A9mence_Royer
Agnes Mary Clerke was born.,02/10/1842,true,https://en.wikipedia.org/wiki/Agnes_Mary_Clerke
Agnes Mary Clerke died.,01/20/1907,true,https://en.wikipedia.org/wiki/Agnes_Mary_Clerke
Isis Pogson died.,05/14/1945,true,https://en.wikipedia.org/wiki/Isis_Pogson
Caterina Scarpellini was born.,10/29/1808,true,https://en.wikipedia.org/wiki/Caterina_Scarpellini
Caterina Scarpellini died.,11/28/1873,true,https://en.wikipedia.org/wiki/Caterina_Scarpellini
Mary Anning was born.,05/21/1799,true,https://en.wikipedia.org/wiki/Mary_Anning
Mary Anning died.,03/09/1847,true,https://en.wikipedia.org/wiki/Mary_Anning
Isabella Bird was born.,10/15/1831,true,https://en.wikipedia.org/wiki/Isabella_Bird
Isabella Bird died.,10/07/1904,true,https://en.wikipedia.org/wiki/Isabella_Bird
Priscilla Susan Bury was born.,01/12/1799,true,https://en.wikipedia.org/wiki/Priscilla_Susan_Bury
Priscilla Susan Bury died.,03/08/1872,true,https://en.wikipedia.org/wiki/Priscilla_Susan_Bury
Anna Botsford Comstock was born.,09/01/1854,true,https://en.wikipedia.org/wiki/Anna_Botsford_Comstock
Anna Botsford Comstock died.,08/24/1930,true,https://en.wikipedia.org/wiki/Anna_Botsford_Comstock
Lydia Maria Adams DeWitt was born.,02/01/1859,true,https://en.wikipedia.org/wiki/Lydia_Maria_Adams_DeWitt
Lydia Maria Adams DeWitt died.,03/10/1928,true,https://en.wikipedia.org/wiki/Lydia_Maria_Adams_DeWitt
Olga Fedtschenko died.,04/24/1921,true,https://en.wikipedia.org/wiki/Olga_Fedtschenko
Susanna Phelps Gage was born.,12/26/1857,true,https://en.wikipedia.org/wiki/Susanna_Phelps_Gage
Susanna Phelps Gage died.,10/15/1915,true,https://en.wikipedia.org/wiki/Susanna_Phelps_Gage
Ida Henrietta Hyde died.,08/22/1945,true,https://en.wikipedia.org/wiki/Ida_Henrietta_Hyde
Maria Elizabetha Jacson died.,10/10/1829,true,https://en.wikipedia.org/wiki/Maria_Elizabetha_Jacson
Józefa Joteyko was born.,01/29/1866,true,https://en.wikipedia.org/wiki/J%C3%B3zefa_Joteyko
Józefa Joteyko died.,04/24/1928,true,https://en.wikipedia.org/wiki/J%C3%B3zefa_Joteyko
Phoebe Lankester was born.,04/10/1825,true,https://en.wikipedia.org/wiki/Phoebe_Lankester
Phoebe Lankester died.,04/09/1900,true,https://en.wikipedia.org/wiki/Phoebe_Lankester
Vera Bogdanovskaia was born.,09/17/1867,true,https://en.wikipedia.org/wiki/Vera_Bogdanovskaia
Vera Bogdanovskaia died.,05/08/1896,true,https://en.wikipedia.org/wiki/Vera_Bogdanovskaia
Ida Freund died.,05/15/1914,true,https://en.wikipedia.org/wiki/Ida_Freund
Marie Pasteur was born.,01/15/1826,true,https://en.wikipedia.org/wiki/Marie_Pasteur
Marie Pasteur died.,09/28/1910,true,https://en.wikipedia.org/wiki/Marie_Pasteur
Mary Engle Pennington died.,12/27/1952,true,https://en.wikipedia.org/wiki/Mary_Engle_Pennington
Vera Popova was born.,09/17/1867,true,https://en.wikipedia.org/wiki/Vera_Popova
Vera Popova died.,05/08/1896,true,https://en.wikipedia.org/wiki/Vera_Popova
Ellen Swallow Richards was born.,12/03/1842,true,https://en.wikipedia.org/wiki/Ellen_Swallow_Richards
Ellen Swallow Richards died.,03/30/1911,true,https://en.wikipedia.org/wiki/Ellen_Swallow_Richards
Emily Roebling was born.,09/23/1843,true,https://en.wikipedia.org/wiki/Emily_Roebling
Emily Roebling died.,02/28/1903,true,https://en.wikipedia.org/wiki/Emily_Roebling
Etheldred Benett was born.,07/22/1776,true,https://en.wikipedia.org/wiki/Etheldred_Benett
Etheldred Benett died.,01/11/1845,true,https://en.wikipedia.org/wiki/Etheldred_Benett
Margaret E. Knight died.,10/12/1914,true,https://en.wikipedia.org/wiki/Margaret_E._Knight
Elizabeth Blackwell (doctor) was born.,02/03/1821,true,https://en.wikipedia.org/wiki/Elizabeth_Blackwell_(doctor)
Elizabeth Blackwell (doctor) died.,05/31/1910,true,https://en.wikipedia.org/wiki/Elizabeth_Blackwell_(doctor)
